,Vermont 100 Mile Aid Stations 2026,,,,,
,Aid Station,,Miles to,,,Aid Station
,Name,MILEAGE,Next Aid,OPEN,CLOSE,TYPE
1,Densmore Hill,7.4,4.6,4:35 AM,6:15 AM,U
2,Dunham Hill,12.0,3.5,5:15 AM,7:35 AM,UP
3,Taftsville Bridge,15.5,2.0,5:45 AM,8:40 AM,AE
4,So. Pomfret,17.5,4.0,6:05 AM,9:15 AM,U
5,Pretty House,21.5,4.0,6:40 AM,10:25 AM,AHDP
6,U-Turn,25.5,5.7,7:15 AM,11:40 AM,U
7,Stage Rd,31.2,3.2,8:05 AM,1:20 PM,AE
8,Route 12,34.4,5.0,8:35 AM,2:20 PM,A
9,Lincoln Covered Bridge,39.4,2.4,9:15 AM,3:50 PM,AHDP
9a,Barr House,41.8,3.1,9:40 AM,4:30 PM,U
10,Lillians,44.9,2.7,9:30 AM,5:30 PM,AP
11,Camp 10 Bear,47.6,3.1,10:00 AM,6:15 PM,AHDP
12,Pinky's,50.7,3.5,10:25 AM,7:10 PM,AE
13,Birminghams,54.2,4.6,11:00 AM,8:15 PM,A
14,Margaritaville,58.8,3.2,11:30 AM,9:40 PM,AHDP
15,Puckerbrush,62.0,3.0,12:00 PM,10:35 PM,APE
16,Brown School House,65.0,4.7,12:30 PM,11:30 PM,A
17,Camp 10 Bear,69.7,4.4,1:00 PM,12:55 AM,AHDP
18,Seabrook,74.1,2.5,1:45 PM,2:15 AM,U
19,Spirit of 76,76.6,3.9,2:00 PM,3:00 AM,AHDP
20,Goodman's,80.5,3.0,2:30 PM,4:10 AM,U
21,Cow Shed,83.5,5.1,3:00 PM,5:00 AM,APE
22,Bill's,88.6,2.9,3:30 PM,6:35 AM,AHDP
23,Keating's,91.5,4.0,4:00 PM,7:25 AM,A
24,Polly's,95.5,4.5,4:30 PM,8:40 AM,AHDP
25,FINISH LINE,100.0,,5:00 PM,10:00 AM,AHDP
,U = Unmanned    A = Manned  H = Handler Access D = Drop Bags  P = Porta Potty,,,,,
,E = Energy Station: NeverSecond gels + Skratch High-Carb,,,,,
,Dogs are not allowed at ANY aid stations or at Silver Hill Meadow.,,,,,
,Except service dogs,,,,,
