id,px,py,pz,vx,vy,vz
0,0.246970435,0.339763543,0,-8.74825372,4.77154455,0
1,0.0573924364,0.34834914,0,9.39911486,-12.9070411,0
2,0.710402684,0.312061229,0,4.11022524,7.93006957,0
3,0.681141548,-0.423869056,0,4.48359711,-22.4638792,0
4,0.661200002,0.13450432,0,-5.96725117,-8.67699104,0
5,0.369000575,0.395481623,0,10.1274973,-10.85385,0
6,0.744430064,0.87559698,0,1.08649969,-11.8653718,0
7,0.756028669,0.998568717,0,0.919015061,19.7764557,0
8,0.492734768,0.243584755,0,10.3697211,1.66415262,0
9,0.972683793,0.444822936,0,2.9842648,4.72421266,0
10,0.555287611,0.0368888264,0,9.92892084,-35.7857598,0
11,0.731572447,0.156449511,0,6.86160105,4.43799411,0
12,0.384404442,0.573334074,0,1.32552191,2.04756502,0
13,1.11061802,0.0319261057,0,4.06473819,-2.12149787,0
14,0.928800879,0.568948276,0,2.98121817,-5.84769331,0
15,0.315249975,0.189531158,0,1.9353837,-2.29904903,0
16,0.787155478,0.224389681,0,14.8441145,-11.1997503,0
17,1.11518744,0.755904394,0,2.39989936,6.00228027,0
18,0.0599944695,0.093483803,0,2.51841701,6.50256534,0
19,0.532142211,-0.0166563952,0,8.75892406,-8.49261742,0
20,1.09966836,0.923371933,0,3.10053123,1.0578749,0
21,0.554113063,0.85587332,0,-15.9872526,-16.3426077,0
22,0.353759158,-0.125752378,0,2.64894083,-4.60586468,0
23,0.341296173,0.649077906,0,26.1497139,-10.8356782,0
24,0.875412919,0.726158269,0,3.20325219,-37.4664051,0
25,0.342842703,0.676527437,0,5.02339277,20.5923056,0
26,1.02184505,1.09469994,0,6.82002387,6.41416995,0
27,0.26305846,0.617066315,0,4.98699105,-10.3136565,0
28,0.944629166,1.00241347,0,1.21824821,8.82255031,0
29,0.0551748628,0.645654377,0,7.08311449,7.58024955,0
30,0.13067313,0.964589137,0,5.69205336,-1.09877142,0
31,0.724421329,0.107184343,0,26.800622,-17.7917042,0
32,0.839832024,0.321965043,0,15.525325,6.35877628,0
33,0.800082376,-0.0374580999,0,6.7681657,-13.2178824,0
34,0.160357159,0.039785279,0,-18.9042046,-1.12796209,0
35,0.830747527,0.111047026,0,-12.6589391,-9.81955574,0
36,0.061599478,0.607035248,0,-0.274359208,11.2920473,0
37,0.399345836,0.88699715,0,0.449130564,10.594865,0
38,-0.0113015307,0.830881152,0,-7.47645448,-1.94710614,0
39,0.119387098,0.884694473,0,14.7801793,-9.95849429,0
40,0.975525827,0.957906389,0,10.6480892,7.81783736,0
41,0.120736334,1.11624282,0,-6.80474713,6.46432857,0
42,1.04880022,0.755919494,0,14.478725,-10.0559583,0
43,0.981425836,0.842376256,0,-2.77806253,-14.9187901,0
44,0.890600526,0.60276804,0,-10.6493892,-10.1319545,0
45,0.932561334,0.126411255,0,-4.82593579,15.8155846,0
46,1.10927589,0.854641793,0,5.15305424,0.59889659,0
47,0.393868831,0.62564514,0,-17.0269894,6.91748656,0
48,0.954974187,0.341116247,0,-2.35999562,-23.2302076,0
49,0.735105987,0.385738386,0,5.28140025,14.8180459,0
50,0.160674879,1.0168405,0,0.404345355,2.32552628,0
51,0.990384677,0.608952701,0,-16.0480166,-3.84491607,0
52,0.326135881,0.475492623,0,-4.06091778,1.1116695,0
53,0.127185418,0.813374565,0,-7.44252602,-6.00436581,0
54,0.77109476,0.094032866,0,-19.3105444,0.292997782,0
55,0.83765447,0.0756946337,0,-7.09391854,13.0334578,0
56,0.697107408,0.693263804,0,0.577680676,19.8271655,0
57,0.116151777,0.351832623,0,6.07049344,8.4098962,0
58,0.885334941,0.0930643118,0,-5.78001642,25.8995525,0
59,0.939160081,-0.116532339,0,-2.97309749,-12.8407333,0
60,0.654277566,0.975716671,0,7.58645061,8.46561217,0
61,0.493072227,0.722945313,0,-6.27265605,-15.9603451,0
62,1.12023231,-0.208482312,0,8.46606089,-21.8965311,0
63,-0.0893649333,0.503537502,0,0.665190063,-9.17833485,0
64,0.100043782,1.13120784,0,0.478290339,17.83881,0
65,0.431639791,0.611810089,0,-7.5566691,1.12414571,0
66,0.4338351,0.510983259,0,-9.5935996,-14.8517754,0
67,0.848030063,0.779516797,0,7.04673521,-2.72608495,0
68,0.832143739,0.370900182,0,-5.21453996,-13.8159604,0
69,0.557575363,0.17656731,0,17.5857109,-5.8634119,0
70,0.914667263,0.474682677,0,10.3776322,8.52539182,0
71,0.100939573,0.571835199,0,-11.5563295,-14.1200922,0
72,0.276224217,0.690801228,0,1.58002282,1.82358845,0
73,0.268774047,0.875188969,0,-4.28438522,-7.57417079,0
74,0.526550829,0.8346794,0,15.1728722,4.81554759,0
75,0.905749134,0.788172125,0,2.21051874,15.5080238,0
76,0.775075985,0.426828568,0,-12.7726861,-4.45759891,0
77,0.332276427,0.49693588,0,10.6019077,0.426942005,0
78,0.666874601,0.426988536,0,-7.65801349,1.04797889,0
79,0.0672701577,0.0826387585,0,-8.12735998,-4.59263785,0
80,1.08955454,0.0232725661,0,9.47572022,-0.563231972,0
81,0.102048533,0.613938322,0,3.61514779,-2.48314703,0
82,0.116508046,0.955667184,0,3.55291846,-12.1363217,0
83,0.474032679,0.62206629,0,-3.16473591,1.17351987,0
84,0.189665938,0.882898515,0,15.7611928,-16.3812362,0
85,0.822856575,0.528443908,0,-0.796965576,4.23747864,0
86,-0.0728993845,0.503362405,0,-19.5168226,-0.524954899,0
87,0.134938697,1.34955966,0,16.9905527,21.9654523,0
88,0.690142106,0.616464958,0,7.63095788,-4.54018026,0
89,0.579921019,-0.0842830133,0,-6.55045847,-1.75861139,0
90,0.973306823,0.826504558,0,0.595403169,6.18834539,0
91,0.530593073,0.618630884,0,-17.6188031,22.1053564,0
92,0.374069952,0.943542279,0,15.7420191,11.2232143,0
93,0.999961279,0.962301632,0,0.677606443,0.548498805,0
94,0.0727613654,-0.14109042,0,-12.1590821,-10.8643427,0
95,0.799983176,0.700315731,0,0.797621394,0.930062351,0
96,0.616131544,1.02171579,0,-12.0844152,14.0059297,0
97,-0.00723471978,0.402546077,0,1.13116062,-7.7071323,0
98,0.59478963,0.782996441,0,5.18952363,1.26484047,0
99,1.05299154,0.149646749,0,9.65722192,7.49424933,0
